Target_name,Sample_category,assay_var.horz_label,CT,Well Position,Tm1,Tm2,Tm3,Tm4,assay_variable,biological_replicates,assay_var.identifier,assay_var.label,Copies.per.ul.template,mean_Copies.per.ul.template,std_curve equation,std_curve id
16s,negative,MG1655,10.967827796936035,A4,,,,,MG1655,1,,MG1655,38110098.08931554,36472964.41983917,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,negative,MG1655,11.062915802001953,B4,,,,,MG1655,2,,MG1655,35470202.794108056,36472964.41983917,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,negative,MG1655,11.049229621887207,C4,,,,,MG1655,3,,MG1655,35838592.376093924,36472964.41983917,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,MJD61,10.704814910888672,D4,,,,,MJD61,1,,MJD61,46480821.987707876,48377034.02575119,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,MJD61,10.636161804199219,E4,,,,,MJD61,2,,MJD61,48953417.40666891,48377034.02575119,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,MJD61,10.616196632385254,F4,,,,,MJD61,3,,MJD61,49696862.68287678,48377034.02575119,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Repressed,MJD61,11.64400577545166,G4,,,,,MJD61,1,,MJD61,22874013.269094255,25602672.763394568,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Repressed,MJD61,11.759532928466797,H4,,,,,MJD61,2,,MJD61,20963539.62083021,25602672.763394568,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Repressed,MJD61,11.15971851348877,A5,,,,,MJD61,3,,MJD61,32970465.400259234,25602672.763394568,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,80a,10.574197769165039,B5,,,,,80a,1,,80a,51297841.58675124,54070187.02087094,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,80a,10.308581352233887,C5,,,,,80a,2,,80a,62688292.670018315,54070187.02087094,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,80a,10.656035423278809,D5,,,,,80a,3,,80a,48224426.80584327,54070187.02087094,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Repressed,80a,10.662635803222656,E5,,,,,80a,1,,80a,47984725.56652489,39543016.353900775,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Repressed,80a,11.148401260375977,F5,,,,,80a,2,,80a,33253369.05912067,39543016.353900775,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Repressed,80a,10.993062019348145,G5,,,,,80a,3,,80a,37390954.436056755,39543016.353900775,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,negative,NTC,21.4882869720459,H5,,,,,NTC,1,,NTC,13542.8225967741,13542.8225967741,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,AOS107,13.856001853942871,A6,,,,,AOS107,1,,AOS107,4306235.261158593,8156635.476072066,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,AOS107,12.734945297241211,B6,,,,,AOS107,2,,AOS107,10038233.175883783,8156635.476072066,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,AOS107,12.723487854003906,C6,,,,,AOS107,3,,AOS107,10125437.991173822,8156635.476072066,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,AOS109,13.689420700073242,D6,,,,,AOS109,1,,AOS109,4883312.583115149,16211392.34732258,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,AOS109,13.876127243041992,E6,,,,,AOS109,2,,AOS109,4241302.656981115,16211392.34732258,Cq = -3.05 x log10(copies) + 34.09,Std30
16s,Maximal,AOS109,10.920058250427246,F6,,,,,AOS109,3,,AOS109,39509561.80187147,16211392.34732258,Cq = -3.05 x log10(copies) + 34.09,Std30
U64,negative,MG1655,,A1,,,,,MG1655,1,,MG1655,,,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,negative,MG1655,,B1,,,,,MG1655,2,,MG1655,,,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,negative,MG1655,,C1,,,,,MG1655,3,,MG1655,,,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,MJD61,30.569469451904297,D1,,,,,MJD61,1,,MJD61,6.312060379203896,5.2990203466291135,Cq = -3.1 x log10(copies) + 33.05,Std30
U64,Maximal,MJD61,31.11716079711914,E1,,,,,MJD61,2,,MJD61,4.2023915744260165,5.2990203466291135,Cq = -3.1 x log10(copies) + 33.05,Std30
